S.No.,Description,MRP,Rate,Total Stock,GST,Unit,HSNC
1,SADA NAMAK 1KG  22/- MRP      25,28,22,20.00,0.00,PCS,25010010
2,SENDHA NAMAK 1.KG 60/-MRP     25,60,25,25.00,0.00,PCS,25010010
1,AMLA CANDY 250.GM 90/- MRP    24,61,24,4.00,5.00,PCS,8112010
2,AMLA CHATPATA (C)250.G 95 MRP 24,62,25,0,5.00,PCS,8112010
3,BANDHANI HING 10.GM 30/-MRP   20,63,26,0,5.00,PCS,13019013
4,BANDHANI HING 25.GM 65/-MRP   6,64,27,48.00,5.00,PCS,13019013
5,BANDHANI HING 50.GM 120/-MRP  4,65,28,136.00,5.00,PCS,13019013
6,BASMATI RICE 1.KG 130/- MRP   20,66,29,5.00,5.00,PCS,10063020
7,BASMATI RICE 5.KG 635/- MRP   4,67,30,4.00,5.00,PCS,10063020
8,BURA 1 KG . 75/- MRP          30,68,31,30.00,5.00,PCS,17029090
9,CORIANDER 200.GM 60/- MRP     30,69,32,0,5.00,PCS,9092200
10,DALIA 500.GM 34/- MRP         30,70,33,28.00,5.00,PCS,11031900
11,GROUNDNUT OIL 1.LTR 185/- MRP 12,71,34,20.00,5.00,PCS,15089091
12,HONEY 1.KG 410/- MRP          12,72,35,19.00,5.00,PCS,4090000
13,HONEY 100.GM 55/- MRP         1,73,36,0,5.00,PCS,4090000
14,HONEY 250.GM 110/- MRP        40,74,37,0,5.00,PCS,4090000
15,HONEY 500.GM 210/- MRP        20,75,38,0,5.00,PCS,4090000
16,JO DALIA 500.GM 55/-MRP       30,76,39,0,5.00,PCS,11031900
17,MADHURAM 1.KG 85/- MRP        30,77,40,26.00,5.00,PCS,17011410
18,MUSTARD OIL 1.LTR 180/-MRP    12,78,41,423.00,5.00,PCS,15149920
19,MUSTARD OIL 200.ML 43/-NEW    48,79,42,86.00,5.00,PCS,15149920
20,MUSTARD OIL 5.LTR 900/- MRP   4,80,43,8.00,5.00,PCS,15149920
21,MUSTARD OIL 5.LTR 900/- MRP Q 4,81,44,0,5.00,PCS,15149920
22,MUSTARD OIL 500.ML 97/-MRP    24,82,45,177.00,5.00,PCS,15149920
23,P SOYABEAN 1.LTR 180/- MRP    12,83,46,108.00,5.00,PCS,15079010
24,P SUNFLOWER OIL 1.LTR 180/-MR 12,84,47,24.00,5.00,PCS,15121910
25,POWERVITA REFIL 500.GM 205/-  24,85,48,14.00,5.00,PCS,19019090
26,PUSHTAHAR DALIA 500.GM 50/-MR 30,86,49,27.00,5.00,PCS,11031900
27,RED CHILLI 200.GM 115/- MRP   30,87,50,25.00,5.00,PCS,9109100
28,RICE BRAN OIL 1.LTR 165/-MRP  12,88,51,93.00,5.00,PCS,1515940
29,SHATAVAR CHURNA 100.GM 200/-  25,89,52,18.00,5.00,PCS,30049011
30,TRAD ATTA 10.KG 480/- MRP     3,90,53,3.00,5.00,PCS,1101000
31,TRAD ATTA 5.KG 250/- MRP      6,91,54,18.00,5.00,PCS,1101000
32,TURMERIC POWDER 200.GM 82/-MR 30,92,55,19.00,5.00,PCS,9103030
1,ALOVERA FIBER J 1.LTR 220/-MR 12,93,56,12.00,12.00,PCS,30049011
2,ALOVERA JUCIE 1.LTR 210/-MRP  12,94,57,4.00,12.00,PCS,30049011
3,AMLA JUICE 1.L 150/- MRP      24,95,58,3.00,12.00,PCS,30049011
4,AMLA JUICE 500ML  75/- MRP    24,96,59,16.00,12.00,PCS,30049011
5,AMLA WHEAT GRASS 500ML 100MRP 12,97,60,0,12.00,PCS,30049011
6,ASHVAGANDHA 11.GM 100/- MRP   1,98,61,15.00,12.00,BOX,30049011
7,ASHVASHILA 11.GM 100/-        1,99,62,11.00,12.00,BOX,30049011
8,COW GHEE 1.LTR 730/-MRP       15,100,63,328.00,12.00,PCS,4059020
9,COW GHEE 200 ML 165/- MRP     60,101,64,323.00,12.00,PCS,4059020
10,COW GHEE 200.ML 160/-MRP      60,102,65,0,12.00,PCS,4059020
11,COW GHEE 500 ML 390/- MRP     30,103,66,390.00,12.00,PCS,4059020
12,COW GHEE 500.ML 375/-MRP      30,104,67,0,12.00,PCS,4059020
13,GILOY JUICE 500 ML 90/-MRP    12,105,68,2.00,12.00,PCS,30049011
14,MADHUNASHNI VATI 30*4  225/-  1,106,69,6.00,12.00,PCS,30049011
15,MEDHA VATI 30*4 250/- MRP     1,107,70,10.00,12.00,PCS,30049011
16,MUKTA VATI 30*4 225/- MRP     1,108,71,8.00,12.00,PCS,30049011
17,SHILAJIT 11.GM 100/- MRP      1,109,72,14.00,12.00,BOX,30049011
18,SHUDDHI CHURNA 100.GM 125/-MR 25,110,73,41.00,12.00,PCS,30049011
19,TRIPHALA CHURAN 100.GM 40/-MR 1,111,74,6.00,12.00,BOX,30049011
